زمان: 2026-09-21 19:06:00 | اجرا: 52 | کار: windows | وضعیت: فایل‌های پل منتقل شد
زمان: 2026-09-21 19:07:48 | اجرا: 53 | کار: bridge | وضعیت: پل فلاتر و راست ساخته شد
زمان: 2026-09-21 19:08:08 | اجرا: 53 | کار: windows | وضعیت: فایل‌های مخزن گرفته شد
زمان: 2026-09-21 19:08:14 | اجرا: 53 | کار: windows | وضعیت: سورس راست‌دسک گرفته شد
زمان: 2026-09-21 19:08:23 | اجرا: 31 | کار: android_stock | وضعیت: سورس اندروید گرفته شد
زمان: 2026-09-21 19:08:28 | اجرا: 31 | کار: android | وضعیت: سورس اندروید گرفته شد
زمان: 2026-09-21 19:09:01 | اجرا: 53 | کار: windows | وضعیت: فایل‌های پل منتقل شد
زمان: 2026-09-21 19:09:53 | اجرا: 52 | کار: windows | وضعیت: ابزارهای ساخت نصب شد
زمان: 2026-09-21 19:09:59 | اجرا: 52 | کار: windows | وضعیت: کتابخانه‌های تصویر و صدا نصب شد
زمان: 2026-09-21 19:10:03 | اجرا: 49 | کار: windows | وضعیت: کامپایل برنامه به پایان رسید
زمان: 2026-09-21 19:11:25 | اجرا: 52 | کار: windows | وضعیت: موتور فلاتر آماده شد
زمان: 2026-09-21 19:11:46 | اجرا: 52 | کار: windows | وضعیت: آیکون‌ها ساخته شد
زمان: 2026-09-21 19:11:49 | اجرا: 52 | کار: windows | وضعیت: برند روی سورس اعمال شد
زمان: 2026-09-21 19:11:54 | اجرا: 52 | کار: windows | وضعیت: رابط کاربری فارسی و بازطراحی شد
زمان: 2026-09-21 19:11:57 | اجرا: 53 | کار: windows | وضعیت: کتابخانه‌های تصویر و صدا نصب شد
زمان: 2026-09-21 19:12:21 | اجرا: 52 | کار: windows | وضعیت: هویت بصری موسسه روی سورس اعمال شد
زمان: 2026-09-21 19:12:36 | اجرا: 30 | کار: android | وضعیت: کتابخانه‌های اندروید نصب شد
زمان: 2026-09-21 19:12:45 | اجرا: 30 | کار: android | وضعیت: هویت بصری اندروید اعمال شد
